,Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Cluster
22,7,34.0,4,143162.64,12187.22,1.0,5.0,8.0,3.0,8.0,6.0,7.1,3.0,1,1303.01,38.068623627698585,219.0,0,246.9923194537421,263.17416316163934,2,968.5555173846188,1
23,8,34.0,4,143162.64,12187.22,1.0,5.0,8.0,3.0,8.0,6.0,7.1,3.0,1,1303.01,38.37475294778511,220.0,0,246.9923194537421,10000.0,2,895.494583180492,1
68,5,23.0,3,114838.41,9843.8675,2.0,5.0,7.0,3.0,11.0,11.0,11.24,8.0,1,1377.74,29.819186633421047,260.0,0,226.8927919215432,649.8093641841638,2,367.6845938942932,1
71,8,24.0,3,114838.41,9843.8675,2.0,5.0,7.0,3.0,11.0,11.0,8.24,8.0,1,1377.74,27.813353640375272,263.0,0,226.8927919215432,254.5717672483792,0,742.9221908300779,1
88,1,32.0,4,88640.24,7266.686666666667,3.0,6.0,1.0,2.0,-1.0,0.0,3.51,3.0,1,950.36,28.210617211444603,305.0,0,135.17337097171767,98.93176402067012,0,732.563531674279,1
90,3,33.0,4,88640.24,7266.686666666667,3.0,6.0,1.0,2.0,4.0,0.0,3.51,3.0,1,950.36,34.67019437922772,307.0,0,135.17337097171767,298.1889114624804,1,543.3063842324688,1
91,4,33.0,4,88640.24,7266.686666666667,3.0,6.0,1.0,2.0,4.0,2.0,3.51,3.0,1,950.36,31.82853557484664,308.0,0,135.17337097171767,288.9037667701024,5,86.63611982901625,1
128,1,20.0,0,92047.08,7591.59,6.0,7.0,16.0,0.0,16.0,11.0,9.13,0.0,2,1296.64,37.11561494309292,350.0,1,0.0,154.6341231395093,0,854.5248768604907,1
129,2,20.0,0,92047.08,7591.59,6.0,7.0,16.0,0.0,16.0,11.0,9.13,4.0,2,1296.64,39.46775837121139,351.0,1,0.0,710.4953806729873,4,328.66361932701284,1
144,1,26.0,11,97791.42,8079.285,6.0,6.0,12.0,0.0,18.0,8.0,17.92,1.0,2,107.41,25.71557884311532,326.0,1,0.0,451.24651936958776,5,646.6819806304122,1
181,6,20.0,5,106733.13,8873.4275,4.0,4.0,1.0,0.0,5.0,6.0,-0.14,0.0,1,76.23,31.72760359530652,397.0,0,0.0,384.7637247797149,1,913.0316546874346,1
183,8,20.0,5,106733.13,8873.4275,4.0,4.0,1.0,0.0,7.0,6.0,0.86,1.0,1,76.23,39.24363977621796,400.0,0,0.0,384.7637247797149,1,792.5790252202852,1
281,2,36.0,8,71681.4,5799.45,3.0,6.0,15.0,1.0,8.0,6.0,10.44,0.0,2,1293.02,29.682953869716,308.0,1,53.92351397165268,137.33114262036042,1,638.6903434079869,1
282,3,36.0,8,71681.4,5799.45,3.0,6.0,15.0,1.0,8.0,10.0,10.44,0.0,2,1293.02,29.37139647559172,309.0,1,53.92351397165268,253.31972193677208,5,562.7017640915751,1
296,1,19.0,4,72559.36,6284.613333333334,4.0,5.0,17.0,4.0,14.0,21.0,2.74,1.0,2,1173.7,23.282135114409623,335.0,0,215.83917063897167,565.7433852667033,3,116.87877742765828,1
