,Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Cluster
7,8,23.0,12,19114.12,1824.8433333333328,3.0,4.0,3.0,4.0,3.0,6.0,11.27,4.0,1,809.98,23.93379480196552,270.0,0,49.57494921489417,24.785216509052056,1,358.12416760938714,0
8,1,28.0,13,34847.84,3037.986666666666,2.0,4.0,6.0,1.0,3.0,4.0,5.42,2.0,1,605.03,24.46403063758457,319.0,0,18.816214573128885,104.291825168246,5,470.69062692529184,0
24,1,54.0,5,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,0.0,6.0,1.99,4.0,1,632.46,26.54422872407309,207.0,0,16.415451659824875,81.22885871073616,3,433.6047729627723,0
25,2,54.0,5,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,5.0,3.0,1.99,4.0,1,632.46,35.279981779008544,208.0,0,16.415451659824875,124.88181990234848,5,409.95181177116,0
26,3,55.0,5,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,3.0,9.0,1.99,4.0,1,632.46,32.30116343180253,209.0,0,16.415451659824875,83.40650880252501,1,411.42712287098345,0
27,4,55.0,5,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,7.0,6.0,-2.01,4.0,1,632.46,38.132348192570056,210.0,0,16.415451659824875,272.3340373956682,5,262.4995942778403,0
28,5,55.0,5,30689.89,2612.4908333333333,2.0,5.0,4.0,1.0,5.0,6.0,-1.01,4.0,1,632.46,41.15431654696947,211.0,0,16.415451659824875,10000.0,3,359.37491550776383,0
37,6,21.0,2,35547.71,2853.3091666666664,7.0,5.0,5.0,0.0,5.0,15.0,2.58,4.0,2,943.86,29.217556326688413,373.0,1,0.0,37.64363788963997,1,497.6872787770267,0
38,7,21.0,2,35547.71,2853.3091666666664,7.0,5.0,5.0,0.0,10.0,15.0,2.58,4.0,2,943.86,26.263822692130155,374.0,1,0.0,181.0119827315892,5,394.31893393507744,0
62,7,30.0,10,34081.38,2611.115,8.0,7.0,15.0,3.0,30.0,11.0,17.13,5.0,2,1704.18,38.438505084064886,181.0,0,70.47833267207261,55.45978063925893,2,395.1733866886684,0
